mapa_id,nome
1,de_dust2
2,de_cache
3,de_inferno
4,de_mirage
5,de_cbble
6,cs_agency
7,de_overpass
8,de_dust
9,de_train
10,de_austria
11,de_nuke
12,cs_assault
13,de_thrill
14,de_blackgold
15,cs_insertion
16,cs_office
17,de_shipped
18,de_vertigo
19,de_canals
20,cs_italy
21,de_aztec
22,bhop_bunker_beta_878
23,fy_overpass_classic_250
24,ze_house_updated_841
25,aim_cache_classic_645
26,bhop_stadium_final_92
27,surf_office_classic_908
28,bhop_museum_classic_977
29,fy_warehouse_classic_190
30,bhop_desert_beta_981
31,de_airport_updated_42
32,de_santorini_beta_377
33,cs_anubis_updated_713
34,awp_ancient_v3_131
35,surf_nuke_v2_115
36,de_airport_alpha_507
37,ar_overpass_ce_293
38,fy_cobble_alpha_720
39,surf_house_pro_726
40,ar_tuscan_pro_246
41,fy_castle_2024_247
42,de_cobble_ce_571
43,ar_jungle_fixed_777
44,fy_tuscan_ce_836
45,cs_dust_ce_157
46,ar_city_alpha_731
47,surf_warehouse_6
48,aim_bunker_classic_832
49,ar_desert_fixed_650
50,awp_overpass_alpha_493
51,ze_bridge_2024_521
52,awp_hospital_classic_507
53,kz_office_2025_228
54,fy_desert_v2_258
55,cs_stadium_beta_683
56,bhop_castle_704
57,surf_port_updated_898
58,kz_port_final_323
59,kz_nuke_final_572
60,ar_port_classic_503
61,surf_dust_ce_538
62,aim_train_beta_316
63,cs_tower_fixed_44
64,aim_tower_212
65,cs_tower_v2_59
66,kz_hospital_fixed_870
67,fy_season_pro_551
68,cs_school_classic_349
69,bhop_warehouse_fixed_659
70,bhop_airport_ce_188
71,ar_cache_552
72,cs_cobble_2024_443
73,bhop_office_classic_590
74,bhop_airport_alpha_73
75,ze_tower_final_600
76,cs_castle_updated_987
77,surf_desert_fixed_91
78,ze_santorini_v3_487
79,awp_house_fixed_59
80,bhop_fire_remake_766
81,bhop_castle_ce_750
82,ar_museum_2024_968
83,aim_cobble_2025_138
84,awp_train_ce_376
85,ar_nuke_569
86,cs_castle_beta_580
87,awp_castle_949
88,ar_office_pro_534
89,kz_overpass_pro_417
90,de_desert_2024_49
91,awp_school_fixed_450
92,awp_bank_v3_25
93,ze_tower_509
94,cs_ancient_v2_829
95,cs_factory_v3_376
96,ze_cache_v2_734
97,kz_dust_ce_365
98,ar_vertigo_test_895
99,aim_factory_2025_868
100,fy_dust_test_509
101,kz_season_ce_946
102,fy_cobble_beta_575
103,fy_cobble_beta_726
104,ze_museum_v2_186
105,surf_ancient_final_292
106,cs_dust_test_80
107,surf_ancient_alpha_983
108,surf_desert_classic_171
109,cs_city_remake_540
110,ar_inferno_updated_48
111,awp_vertigo_remake_248
112,bhop_bunker_alpha_569
113,surf_santorini_fixed_476
114,aim_warehouse_beta_468
115,cs_santorini_2024_175
116,kz_school_441
117,kz_bridge_2025_36
118,kz_dust_final_43
119,aim_airport_updated_329
120,fy_desert_test_633
121,awp_cobble_classic_15
122,ar_port_updated_12
123,surf_cache_v3_90
124,aim_museum_classic_925
125,cs_airport_classic_310
126,ar_bunker_762
127,bhop_museum_2025_574
128,ze_bunker_2025_676
129,aim_airport_pro_339
130,ar_cache_2025_422
131,cs_stadium_classic_13
132,bhop_bank_v2_921
133,ze_house_classic_698
134,de_tuscan_test_786
135,cs_cache_v3_998
136,ze_hospital_remake_652
137,bhop_warehouse_ce_574
138,kz_mall_255
139,ar_office_classic_728
140,kz_anubis_2025_282
141,fy_castle_2024_894
142,cs_office_updated_780
143,ze_castle_v2_927
144,surf_desert_pro_896
145,aim_city_v2_986
146,bhop_desert_final_931
147,cs_jungle_v2_12
148,surf_bank_632
149,de_airport_updated_912
150,surf_bunker_pro_975
151,de_ice_v2_962
152,kz_overpass_beta_306
153,fy_desert_classic_463
154,awp_season_v2_934
155,ze_office_updated_569
156,awp_factory_test_483
157,ar_santorini_updated_664
158,cs_ancient_remake_536
159,fy_bunker_test_721
160,bhop_dust_2024_121
161,fy_tower_v2_695
162,surf_santorini_830
163,awp_warehouse_v3_153
164,cs_nuke_remake_485
165,surf_bridge_updated_84
166,bhop_hospital_ce_770
167,surf_castle_v2_251
168,aim_museum_v3_922
169,ar_city_v2_335
170,de_desert_v2_682
171,awp_tower_ce_679
172,bhop_stadium_183
173,fy_house_v2_868
174,ar_vertigo_2025_856
175,fy_warehouse_809
176,fy_mall_2024_967
177,cs_mirage_ce_339
178,cs_desert_pro_171
179,ar_inferno_v2_834
180,kz_dust_v2_144
181,de_warehouse_2025_79
182,cs_hospital_2025_313
183,fy_inferno_2024_393
184,kz_castle_test_551
185,ze_cache_updated_404
186,fy_vertigo_2025_496
187,fy_dust_final_683
188,awp_factory_657
189,bhop_tower_beta_360
190,kz_santorini_alpha_768
191,de_bunker_ce_399
192,surf_season_v2_858
193,kz_tower_pro_4
194,awp_mirage_test_303
195,awp_anubis_remake_336
196,cs_train_fixed_467
197,ar_office_final_489
198,ze_overpass_v2_679
199,cs_nuke_final_262
200,fy_cache_pro_530
201,surf_ice_fixed_600
202,aim_nuke_remake_181
203,ze_bank_classic_601
204,cs_castle_pro_634
205,de_nuke_fixed_531
206,de_bunker_remake_642
207,fy_warehouse_alpha_785
208,de_tower_remake_366
209,ze_city_635
210,bhop_cobble_340
211,ar_mirage_ce_803
212,ar_cache_test_639
213,ze_school_pro_57
214,aim_ice_test_645
215,cs_cobble_2025_894
216,bhop_train_updated_677
217,ar_tuscan_remake_394
218,bhop_tower_alpha_752
219,de_bridge_2025_964
220,kz_stadium_2024_822
221,bhop_inferno_v2_119
222,ar_train_427
223,fy_mall_final_501
224,ar_ice_ce_63
225,awp_train_beta_760
226,aim_cache_ce_555
227,bhop_house_v3_965
228,bhop_season_updated_167
229,de_anubis_test_463
230,fy_port_test_724
231,ze_bank_ce_718
232,awp_city_27
233,de_tuscan_test_64
234,fy_museum_remake_733
235,fy_museum_test_805
236,de_tower_final_154
237,cs_ancient_final_508
238,bhop_city_500
239,fy_fire_ce_842
240,awp_school_v3_661
241,cs_anubis_remake_799
242,cs_ancient_beta_30
243,surf_cobble_beta_179
244,kz_desert_alpha_871
245,ze_airport_test_696
246,cs_ancient_v2_769
247,surf_cache_ce_709
248,aim_cobble_2025_467
249,ar_mall_v2_149
250,de_bunker_final_624
251,ar_bank_v2_145
252,fy_jungle_2025_42
253,aim_tower_alpha_835
254,awp_bunker_final_564
255,de_train_56
256,de_hospital_updated_787
257,ar_mirage_final_718
258,awp_tower_updated_107
259,bhop_bunker_v2_318
260,de_bridge_remake_35
261,aim_hospital_test_386
262,surf_office_updated_343
263,aim_nuke_pro_42
264,surf_bank_pro_538
265,fy_cache_final_537
266,ze_factory_2025_945
267,de_train_v3_4
268,de_school_alpha_114
269,de_ancient_beta_94
270,surf_museum_test_329
271,cs_castle_2025_881
272,fy_cobble_pro_920
273,kz_ice_2024_156
274,kz_office_v2_815
275,bhop_city_classic_466
276,awp_vertigo_v2_97
277,de_office_classic_589
278,kz_airport_v2_249
279,de_city_alpha_905
280,bhop_santorini_v3_257
281,ar_bank_fixed_445
282,surf_overpass_updated_638
283,cs_ice_2024_968
284,kz_museum_2024_959
285,ze_anubis_fixed_269
286,fy_tower_test_381
287,ze_inferno_beta_21
288,ar_tuscan_test_176
289,surf_fire_alpha_421
290,aim_nuke_62
291,awp_desert_v3_862
292,fy_bank_test_837
293,fy_anubis_fixed_549
294,surf_port_ce_575
295,bhop_nuke_alpha_786
296,ze_city_pro_560
297,ze_tuscan_v2_235
298,aim_ancient_2025_435
299,cs_jungle_2025_96
300,ze_warehouse_v3_629
301,cs_bridge_beta_179
302,fy_tuscan_classic_27
303,de_tower_2024_12
304,awp_dust_v2_15
305,ar_jungle_alpha_607
306,fy_bridge_remake_57
307,bhop_dust_alpha_607
308,ze_ancient_fixed_580
309,kz_fire_test_905
310,ze_castle_alpha_152
311,surf_tower_alpha_472
312,kz_bunker_973
313,de_cobble_pro_34
314,kz_jungle_2025_556
315,fy_season_v3_735
316,cs_bunker_final_103
317,ze_stadium_classic_137
318,de_inferno_2025_222
319,awp_castle_376
320,de_mall_remake_647
321,ze_airport_292
322,cs_train_remake_709
323,de_santorini_2025_818
324,ze_mall_80
325,cs_school_v2_995
326,de_nuke_beta_822
327,ze_bridge_final_414
328,bhop_port_classic_913
329,fy_port_2024_273
330,kz_house_v2_14
331,aim_city_remake_227
332,bhop_house_fixed_794
333,ze_fire_fixed_926
334,cs_season_v3_325
335,cs_bunker_fixed_1
336,cs_city_v3_611
337,de_cache_final_923
338,fy_museum_test_950
339,aim_santorini_pro_160
340,ze_factory_fixed_88
341,awp_season_pro_812
342,aim_desert_pro_907
343,de_bank_test_367
344,kz_bank_test_670
345,kz_stadium_989
346,fy_inferno_fixed_608
347,awp_bridge_classic_434
348,bhop_mirage_updated_439
349,cs_fire_2024_110
350,awp_city_ce_109
